assumption_id,assumption,low,base,high,unit,source,confidence,decision_impact,validation_method,status
A01,Traditional clinician visit cost (COGS),70,74,85,USD/visit,"Legion data (data/ceo_data_integration.md): ~$74 provider COGS per synchronous visit; ~52-53% gross margin on $153/visit. Replaces external telehealth benchmark. Low/high are a modest band around the single figure Legion provided.",medium,high,Legion data,legion_data
A02,AI-supported clinician visit cost (COGS),32,37,45,USD/visit,"Legion data (data/ceo_data_integration.md): ~$37 COGS/visit with ~2x AI leverage; ~76% gross margin on $153/visit. Replaces external placeholder. Low/high are a modest band around the single figure Legion provided.",medium,high,Legion data,legion_data
A02b,Mostly-AI-driven care episode cost,2,8,25,USD/episode,"Derived from Legion data: $1 token/compute + escalation-allocated human review at A02 rate. Escalation rate is analyst estimate (Legion did not provide). Low/base/high: $2/$8/$25. Replaces external benchmark.",medium,high,Legion data + derivation,legion_derived
A03,Traditional pathway visits per patient per year,4,5.3,13.2,visits/patient/yr,"Legion data (data/ceo_data_integration.md): base 5.3 = historical average visits/patient/yr; high 13.2 = continuously-active mature-cohort rate (~1 visit/month). These describe different patient populations — kept separate, not blended. Low=4 retained as conservative floor.",medium,high,Legion data,legion_data
A03b,AI-supported pathway visits per patient per year,6,12,24,visits/patient/yr,"PLACEHOLDER pending Legion data. Assumes AI-supported model enables higher-frequency, shorter touchpoints than traditional cadence; no Legion or external source specific to this pathway definition.",unresolved,medium,Legion data,placeholder_unresolved
A04,Mostly-AI-driven care episodes per patient per year,3,6,12,episodes/patient/yr,"PLACEHOLDER pending Legion data. A 'care episode' here is a bundled unit of AI-driven care (e.g., an AI-led assessment/check-in cycle), analogous in scope to a clinician visit but lower-cost/lower-touch, NOT a single chat message. Range set below A03 (traditional visit cadence) per decision_framework.md's explicit qualitative ordering that the mostly-AI-driven pathway carries the LOWEST relative cost of the three pathways; no direct external benchmark exists for episode frequency specifically, so the range is an analytic placeholder anchored to that qualitative constraint.",unresolved,medium,Legion data,placeholder_unresolved
A05,Sponsor ARPU (fixed-fee sponsorship per exposed patient),10,15,40,USD/patient/yr,"comparable_notes.md: GoodRx pharma-solutions ARPU ~$15/user/yr (derived); high case assumes multi-sponsor stacking (estimate)",low,high,Sponsor-side test (15-20 buyer interviews),estimated_external
A06,Programmatic health eCPM (patient-vertical contextual),20,30,45,USD/1000 impressions,"comparable_notes.md: Facebook healthcare / patient-health-vertical CPM benchmarks; do NOT use physician CPMs ($70-1000+)",medium,medium,Research benchmarks,estimated_external
A06b,Ad sessions per patient per year (Model A exposure volume),12,52,450,sessions/patient/yr,"PLACEHOLDER. Low/base derived from A03/A03b/A04 order-of-magnitude (roughly monthly to several-times-weekly touchpoints); no Legion product-usage data exists yet. HIGH END WIDENED in v2 revision (2026-07-07): 150/yr was anchored to visit-based cadences and did not represent how a daily-use ambient-engagement AI companion/chat product might actually be opened; 450/yr (~1.2x/day) represents that daily-use ceiling instead. Still no Legion product-usage data exists for either end.",unresolved,medium,Product analytics (post-launch),placeholder_unresolved
A06c,Ads served per session,1,2,3,ads/session,"PLACEHOLDER external analogy to typical content-page ad density (display/native); not Legion-specific and no clinical-workflow ad placement has been designed or approved.",low,medium,Product design decision,placeholder_external
A06d,Ad fill rate,50,70,90,% (0-100),"PLACEHOLDER general programmatic display fill-rate norms (50-90% typical range cited across ad-tech industry sources); not health-vertical specific. Stored as 0-100 (not 0-1) for consistency with other pct01-converted assumptions (A07/A14/A19/A21/A22) in scenarios.py/sensitivity.py.",low,low,Ad-ops benchmarking,placeholder_external
A06e,Platform/ad-tech fee (take rate),20,30,40,% (0-100),"PLACEHOLDER standard programmatic ad-exchange take rates (20-40% commonly cited industry-wide for SSP/DSP/exchange fees combined). Stored as 0-100 (not 0-1) for consistency with other pct01-converted assumptions.",low,medium,Ad-ops benchmarking,placeholder_external
A07,Sponsor renewal rate,50,70,90,%/yr,"PLACEHOLDER. No Legion or direct sponsor-side data. External proxy: typical enterprise/B2B logo retention ranges widely (50-90%) depending on contract structure; not sourced from a comparable sponsorship program.",unresolved,medium,Sponsor-side test,placeholder_unresolved
A08,Sales + servicing cost per sponsor contract,50000,150000,400000,USD/contract/yr,"comparable_notes.md: pharma agency retainers $5-40K/mo; 9-18 mo enterprise sales cycles (rough estimate)",low,medium,Sponsor-side test,estimated_external
A09,Incremental compliance/legal cost,150000,400000,900000,USD/yr,"PLACEHOLDER. External anchor: mid-size digital-health-org HIPAA/compliance program cost $80K-500K initial + $90K-500K/yr ongoing (Medcurity/HIPAA Journal 2026 benchmarking); Legion-specific sponsor-ad-compliance overlay (FTC Health Breach Notification Rule exposure per GoodRx/Cerebral precedent) adds incremental legal review not captured in generic HIPAA figures, so high end raised above generic mid-size benchmark.",low,high,Counsel estimate,placeholder_external
A10,Trust-related conversion (booking) loss from sponsorship,1,4,10,pp decline,"PLACEHOLDER. No patient concept test run yet. Order-of-magnitude judgment anchored to comparable_notes.md pattern (GoodRx/Cerebral enforcement, Woebot/Wysa low free-to-paid conversion) suggesting sponsorship/ad presence measurably depresses trust-sensitive conversion in health contexts; magnitude unresolved.",unresolved,high,Patient-side test,placeholder_unresolved
A11,Trust-related retention (continuation) loss from sponsorship,1,5,15,pp decline,"PLACEHOLDER. No patient concept test run yet. Judgment placeholder; psychiatric/behavioral-health patients plausibly more trust-sensitive than general consumer health (per comparable_notes.md discussion of Woebot/Cerebral trust dynamics), so high end set above A10.",unresolved,high,Patient-side test,placeholder_unresolved
A12,Revenue multiple for valuation backsolve,5,10,20,x revenue,Public digital-health comps,low,high,Comparables research,awaiting_research
A13,Eligible patient population for free pathway,25000,150000,750000,patients,"Census/SAMHSA TAM anchor (P01-P08; data/uninsured_population_sizing.md). ~5.9M uninsured US adults 18+ with AMI (NSDUH 2024). Low/base/high = Legion REACHABLE uninsured AMI cohort: 25K/150K/750K. CEO confirmed 2026-07-09: 0 of ~3,000 current actives are uninsured -- this is a GREENFIELD pipeline only; core FFS book unchanged. Scope: uninsured-only free pathway.",medium,medium,Census ACS 2024 + SAMHSA NSDUH 2024 + CEO confirmation,estimated_external
A14,Target contribution margin,20,25,30,%,Lead judgment,medium,medium,Lead decision,set_provisional
A15,Employer/payer PEPM underwriting range (Model D anchor),36,600,4200,USD/patient/yr,"comparable_notes.md: EAP $3-9 PEPM low end ($36-108/yr); Lyra/Spring Health $120-350/mo premium end ($1,440-4,200/yr); base case set at approx. general-benefit midpoint ($50/mo=$600/yr), not a Legion-specific quote.",low,medium,Employer buyer interviews,estimated_external
A16,Foundation/grant annual funding pool (Model E anchor),100000,750000,3000000,USD/yr,"PLACEHOLDER. No specific Legion foundation partner identified. Order-of-magnitude range drawn from typical mid-size health-foundation program grant sizes (analytic placeholder, not sourced to a named grantor).",unresolved,medium,Foundation partner interviews,placeholder_unresolved
A17,Foundation-funded cohort size,200,1000,5000,patients,"PLACEHOLDER. Analytic placeholder scaling with A16; no Legion or named-foundation data.",unresolved,low,Foundation partner interviews,placeholder_unresolved
A18,Foundation grant duration,1,2,3,years,"PLACEHOLDER. Typical foundation grant cycles are commonly 1-3 years in philanthropic-sector practice generally; not sourced to a specific behavioral-health grantor.",low,low,Foundation partner interviews,placeholder_external
A19,Qualified performance action rate (Model C),2,8,20,% (0-100) of sessions triggering a qualified action,"PLACEHOLDER. Model C flagged in decision_framework.md as requiring legal review before real-world use (steering-risk); modeled here for economic comparison only, not a Legion or sourced conversion rate.",unresolved,high,Legal review + sponsor test,placeholder_unresolved
A20,Revenue per qualified action (Model C),2,8,25,USD/action,"PLACEHOLDER. No comparable per-action healthcare sponsorship pricing found (pharma affiliate/performance marketing rates vary widely and are not disclosed publicly at the per-action level for this use case); analytic placeholder only. Model C is flagged for legal review per decision_framework.md gate 4 (no prohibited referral/steering incentives).",unresolved,high,Legal review + sponsor test,placeholder_unresolved
A21,Employer/payer utilization adjustment (share of covered lives actively engaging),30,55,80,% (0-100),"PLACEHOLDER. General digital-health-benefit engagement/utilization rates commonly cited in employer-benefits industry commentary span roughly this range; not sourced to a specific Legion employer pilot.",unresolved,medium,Employer buyer interviews,placeholder_external
A22,Traditional pathway trust/churn baseline conversion rate (pre-sponsorship),55,70,85,% (0-100) booking-to-continuation,"PLACEHOLDER. No Legion funnel data. Placeholder baseline against which A10/A11 percentage-point declines are applied; order-of-magnitude only.",unresolved,medium,Legion data / product analytics,placeholder_unresolved
A23,Reference sponsor contract count (Model B cost-allocation denominator),1,3,10,contracts,"Illustrative reference count of simultaneously-active sponsor contracts, used ONLY to split A08 (sales+servicing cost per contract) across the exposed patient base in the fully-loaded-cost calculation. Not a market-sized estimate of achievable sponsor count (see Path-to-1B sponsor-count backsolve in model_readme.md for the actual scale question). Held at base case across all low/base/high scenarios (policy-lever/normalization constant, not a pessimism/optimism axis), analogous to A12/A14 treatment.",low,medium,Sponsor-side test,placeholder_unresolved
A24,Reference annual sponsor contract value (Model B illustrative denominator),100000,250000,750000,USD/contract/yr,"Illustrative single-sponsor contract size used only for the Path-to-1B required-sponsor-count/concentration backsolve and as a cross-check denominator against A05's external-anchor ARPU. Order-of-magnitude anchored to comparable_notes.md pharma-agency-retainer/CSO contract-size discussion ($5K-$50M cited across sources, narrowed here to a single-sponsor range); not a Legion-specific contract. Held at base case across all low/base/high scenarios (policy-lever/normalization constant), analogous to A12/A14 treatment.",low,medium,Sponsor-side test,estimated_external
A25,Core-book revenue exposure per patient (Legion existing fee-for-service revenue per active patient/yr; core-book contagion term),811,811,2025,USD/patient/yr,"Legion data: base/low = 5.3 visits x $153 = $811; high = 13.2 visits x $153 = $2,025 (matches mature-cohort LTV). Low=base is intentional — Legion provided no below-average figure.",medium,high,Legion data,legion_data
A26,Core-book trust-spillover rate (share of core-book revenue at risk from sponsorship-driven trust damage bleeding into Legion's existing FFS patient relationship),0.1,0.5,2.5,% (0-100) of core-book revenue,"PLACEHOLDER — structurally new assumption added in v2 (2026-07-07) in v2 (2026-07-07). No patient concept test has examined whether sponsorship-driven trust damage spills beyond the sponsored tier into a patient's separate, existing paying relationship with Legion's core FFS service line. Base case set deliberately small (0.5%) so the resulting core-book contagion cost stays visibly provisional in the model grid rather than reading as a considered central estimate; low/high span roughly an order of magnitude around that base to show the term is far from resolved, not to imply precision.",unresolved,high,Patient concept test,placeholder_unresolved
A27,Reference single-grantor annual grant size (Model E scale-backsolve denominator),100000,750000,3000000,USD/grantor/yr,"Illustrative single-foundation/grantor annual grant size used only for the Path-to-1B required-grantor-count/concentration backsolve, added in v2 (2026-07-07) in v2 (2026-07-07) ('apply the same backsolve rigor to Model E ... that was applied to Model B'). Not a market-sizing estimate of achievable grantor count. Held at base case across all low/base/high scenarios (policy-lever/normalization constant), analogous to A23/A24 treatment. Value range matches A16 (Foundation/grant annual funding pool) since both describe a single foundation's typical annual grant size; kept as a separate assumption id from A16 for backsolve auditability — A16 drives the Model E ARPU-grid grant-pool figure directly (and varies by scenario), while A27 is reserved for the scale-backsolve denominator (held fixed at base, mirroring A24's role for Model B).",low,medium,Foundation partner interviews,placeholder_unresolved
A28,Customer acquisition cost (CAC),250,250,250,USD/acquired patient,"Legion data (data/ceo_data_integration.md): CAC ~$250. Single point estimate — low=base=high. Used in funnel-lens comparison only (A02b vs A28), not in pathway economics grid.",medium,medium,Legion data,legion_data
A29,Mature-cohort booked-revenue LTV/CAC multiple,8.1,8.1,8.1,x (LTV/CAC ratio),"Legion data: mature-cohort booked-revenue LTV/CAC ~8.1x. Implies booked LTV ~ $2,025 (= 8.1 x $250 CAC). Context/cross-check only.",medium,low,Legion data,legion_data
A30,Mature-cohort gross-margin LTV/CAC multiple,4.2,4.2,4.2,x (LTV/CAC ratio),"Legion data: mature-cohort gross-margin LTV/CAC ~4.2x. Implies GM LTV ~ $1,050. Context/cross-check only.",medium,low,Legion data,legion_data
